NO;HOBO;DATA1;DATA2;ERROR1;ERROR2;AKURASI1;AKURASI2
1;0.0058;0.0067;0.0074;15.23;27.32;84.77;72.68
2;0.0058;0.0067;0.0068;15.23;17.64;84.77;82.36
3;0.0058;0.0086;0.0066;48.71;13.79;51.29;86.21
4;0.0058;0.0067;0.0066;15.23;13.79;84.77;86.21
5;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
6;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
7;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
8;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
9;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
10;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
11;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
12;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
13;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
14;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
15;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
16;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
17;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
18;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
19;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
20;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
21;0.0066;0.0072;0.0068;8.62;3.38;91.38;96.62
22;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
23;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
24;0.0066;0.0072;0.0066;8.62;0.00;91.38;100.00
25;0.0066;0.0067;0.0066;1.27;0.00;98.73;100.00
26;0.0066;0.0067;0.0066;1.27;0.00;98.73;100.00
27;0.0066;0.0067;0.0066;1.27;0.00;98.73;100.00
28;0.0066;0.0066;0.0068;0.00;3.38;100.00;96.62
29;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
30;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
31;0.0066;0.0067;0.0066;1.27;0.00;98.73;100.00
32;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
33;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
34;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
35;0.0066;0.0066;0.0068;0.00;3.38;100.00;96.62
36;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
37;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
38;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
39;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
40;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
41;0.0066;0.0066;0.0079;0.00;20.38;100.00;79.62
42;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
43;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
44;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
45;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
46;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
47;0.0066;0.0066;0.0068;0.00;3.38;100.00;96.62
48;0.0066;0.0066;0.0068;0.00;3.38;100.00;96.62
49;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
50;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
51;0.0066;0.0066;0.0066;0.00;0.00;100.00;100.00
52;0.0066;0.0066;0.0096;0.00;45.88;100.00;54.12
53;0.0066;0.0067;0.0066;1.27;0.00;98.73;100.00
