NO;CLINOMETER;ADXL345;RATA-RATA;ERROR;AKURASI
1;0.4;0.2;0.295;26.25;73.75
2;0.4;0.3;0.295;26.25;73.75
3;0.4;0.3;0.295;26.25;73.75
4;0.4;0.2;0.295;26.25;73.75
5;0.4;0.2;0.295;26.25;73.75
6;0.4;0.2;0.295;26.25;73.75
7;0.4;0.2;0.295;26.25;73.75
8;0.4;0.4;0.295;26.25;73.75
9;0.4;0.2;0.295;26.25;73.75
10;0.4;0.1;0.295;26.25;73.75
11;0.4;0.5;0.295;26.25;73.75
12;0.4;0.5;0.295;26.25;73.75
13;0.4;0.5;0.295;26.25;73.75
14;0.4;0.2;0.295;26.25;73.75
15;0.4;0.2;0.295;26.25;73.75
16;0.4;0.5;0.295;26.25;73.75
17;0.4;0.2;0.295;26.25;73.75
18;0.4;0.2;0.295;26.25;73.75
19;0.4;0.4;0.295;26.25;73.75
20;0.4;0.4;0.295;26.25;73.75
21;1.9;1.6;1.465;22.89473684;77.10526316
22;1.9;1.4;1.465;22.89473684;77.10526316
23;1.9;1.6;1.465;22.89473684;77.10526316
24;1.9;1.6;1.465;22.89473684;77.10526316
25;1.9;1.4;1.465;22.89473684;77.10526316
26;1.9;1.5;1.465;22.89473684;77.10526316
27;1.9;1.3;1.465;22.89473684;77.10526316
28;1.9;1.6;1.465;22.89473684;77.10526316
29;1.9;1.4;1.465;22.89473684;77.10526316
30;1.9;1.5;1.465;22.89473684;77.10526316
31;1.9;1.5;1.465;22.89473684;77.10526316
32;1.9;1.5;1.465;22.89473684;77.10526316
33;1.9;1.3;1.465;22.89473684;77.10526316
34;1.9;1.5;1.465;22.89473684;77.10526316
35;1.9;1.5;1.465;22.89473684;77.10526316
36;1.9;1.3;1.465;22.89473684;77.10526316
37;1.9;1.3;1.465;22.89473684;77.10526316
38;1.9;1.5;1.465;22.89473684;77.10526316
39;1.9;1.4;1.465;22.89473684;77.10526316
40;1.9;1.6;1.465;22.89473684;77.10526316
41;3.7;4;3.86;4.324324324;95.67567568
42;3.7;3.8;3.86;4.324324324;95.67567568
43;3.7;3.8;3.86;4.324324324;95.67567568
44;3.7;3.8;3.86;4.324324324;95.67567568
45;3.7;3.8;3.86;4.324324324;95.67567568
46;3.7;3.8;3.86;4.324324324;95.67567568
47;3.7;3.8;3.86;4.324324324;95.67567568
48;3.7;3.6;3.86;4.324324324;95.67567568
49;3.7;3.8;3.86;4.324324324;95.67567568
50;3.7;3.8;3.86;4.324324324;95.67567568
51;3.7;4;3.86;4.324324324;95.67567568
52;3.7;3.8;3.86;4.324324324;95.67567568
53;3.7;4;3.86;4.324324324;95.67567568
54;3.7;4;3.86;4.324324324;95.67567568
55;3.7;4;3.86;4.324324324;95.67567568
56;3.7;3.8;3.86;4.324324324;95.67567568
57;3.7;3.8;3.86;4.324324324;95.67567568
58;3.7;4;3.86;4.324324324;95.67567568
59;3.7;4;3.86;4.324324324;95.67567568
60;3.7;3.8;3.86;4.324324324;95.67567568
61;5.2;5.8;5.595;7.596153846;92.40384615
62;5.2;5.8;5.595;7.596153846;92.40384615
63;5.2;5.6;5.595;7.596153846;92.40384615
64;5.2;5.4;5.595;7.596153846;92.40384615
65;5.2;5.8;5.595;7.596153846;92.40384615
66;5.2;5.4;5.595;7.596153846;92.40384615
67;5.2;5.6;5.595;7.596153846;92.40384615
68;5.2;5.6;5.595;7.596153846;92.40384615
69;5.2;5.6;5.595;7.596153846;92.40384615
70;5.2;5.6;5.595;7.596153846;92.40384615
71;5.2;5.6;5.595;7.596153846;92.40384615
72;5.2;5.6;5.595;7.596153846;92.40384615
73;5.2;5.6;5.595;7.596153846;92.40384615
74;5.2;5.6;5.595;7.596153846;92.40384615
75;5.2;5.6;5.595;7.596153846;92.40384615
76;5.2;5.6;5.595;7.596153846;92.40384615
77;5.2;5.6;5.595;7.596153846;92.40384615
78;5.2;5.6;5.595;7.596153846;92.40384615
79;5.2;5.3;5.595;7.596153846;92.40384615
80;5.2;5.6;5.595;7.596153846;92.40384615
81;6.6;7;6.98;5.757575758;94.24242424
82;6.6;7.1;6.98;5.757575758;94.24242424
83;6.6;6.9;6.98;5.757575758;94.24242424
84;6.6;7.1;6.98;5.757575758;94.24242424
85;6.6;6.9;6.98;5.757575758;94.24242424
86;6.6;7.3;6.98;5.757575758;94.24242424
87;6.6;6.8;6.98;5.757575758;94.24242424
88;6.6;7.1;6.98;5.757575758;94.24242424
89;6.6;6.9;6.98;5.757575758;94.24242424
90;6.6;7.1;6.98;5.757575758;94.24242424
91;6.6;6.6;6.98;5.757575758;94.24242424
92;6.6;7.1;6.98;5.757575758;94.24242424
93;6.6;6.7;6.98;5.757575758;94.24242424
94;6.6;7.1;6.98;5.757575758;94.24242424
95;6.6;6.9;6.98;5.757575758;94.24242424
96;6.6;6.9;6.98;5.757575758;94.24242424
97;6.6;6.9;6.98;5.757575758;94.24242424
98;6.6;7.3;6.98;5.757575758;94.24242424
99;6.6;7.1;6.98;5.757575758;94.24242424
100;6.6;6.8;6.98;5.757575758;94.24242424
101;8.4;8.7;8.64;2.857142857;97.14285714
102;8.4;8.7;8.64;2.857142857;97.14285714
103;8.4;8.7;8.64;2.857142857;97.14285714
104;8.4;8.7;8.64;2.857142857;97.14285714
105;8.4;8.7;8.64;2.857142857;97.14285714
106;8.4;8.7;8.64;2.857142857;97.14285714
107;8.4;8.5;8.64;2.857142857;97.14285714
108;8.4;8.5;8.64;2.857142857;97.14285714
109;8.4;8.5;8.64;2.857142857;97.14285714
110;8.4;8.8;8.64;2.857142857;97.14285714
111;8.4;8.6;8.64;2.857142857;97.14285714
112;8.4;8.7;8.64;2.857142857;97.14285714
113;8.4;8.5;8.64;2.857142857;97.14285714
114;8.4;8.5;8.64;2.857142857;97.14285714
115;8.4;8.5;8.64;2.857142857;97.14285714
116;8.4;8.7;8.64;2.857142857;97.14285714
117;8.4;8.8;8.64;2.857142857;97.14285714
118;8.4;8.7;8.64;2.857142857;97.14285714
119;8.4;8.7;8.64;2.857142857;97.14285714
120;8.4;8.6;8.64;2.857142857;97.14285714
121;15.2;15.3;15.39;1.25;98.75
122;15.2;15.3;15.39;1.25;98.75
123;15.2;15.1;15.39;1.25;98.75
124;15.2;15.3;15.39;1.25;98.75
125;15.2;15.3;15.39;1.25;98.75
126;15.2;15.3;15.39;1.25;98.75
127;15.2;15.4;15.39;1.25;98.75
128;15.2;15.3;15.39;1.25;98.75
129;15.2;15.4;15.39;1.25;98.75
130;15.2;15.5;15.39;1.25;98.75
131;15.2;15.5;15.39;1.25;98.75
132;15.2;15.5;15.39;1.25;98.75
133;15.2;15.3;15.39;1.25;98.75
134;15.2;15.5;15.39;1.25;98.75
135;15.2;15.5;15.39;1.25;98.75
136;15.2;15.5;15.39;1.25;98.75
137;15.2;15.5;15.39;1.25;98.75
138;15.2;15.5;15.39;1.25;98.75
139;15.2;15.4;15.39;1.25;98.75
140;15.2;15.4;15.39;1.25;98.75
141;24.7;24.5;24.655;0.182186235;99.81781377
142;24.7;24.1;24.655;0.182186235;99.81781377
143;24.7;24.7;24.655;0.182186235;99.81781377
144;24.7;24.7;24.655;0.182186235;99.81781377
145;24.7;24.7;24.655;0.182186235;99.81781377
146;24.7;24.7;24.655;0.182186235;99.81781377
147;24.7;24.7;24.655;0.182186235;99.81781377
148;24.7;24.6;24.655;0.182186235;99.81781377
149;24.7;24.3;24.655;0.182186235;99.81781377
150;24.7;24.3;24.655;0.182186235;99.81781377
151;24.7;24.6;24.655;0.182186235;99.81781377
152;24.7;25.1;24.655;0.182186235;99.81781377
153;24.7;24.9;24.655;0.182186235;99.81781377
154;24.7;24.4;24.655;0.182186235;99.81781377
155;24.7;25.1;24.655;0.182186235;99.81781377
156;24.7;24.7;24.655;0.182186235;99.81781377
157;24.7;24.8;24.655;0.182186235;99.81781377
158;24.7;24.5;24.655;0.182186235;99.81781377
159;24.7;24.7;24.655;0.182186235;99.81781377
160;24.7;25;24.655;0.182186235;99.81781377
161;30;30;29.99;0.033333333;99.96666667
162;30;29.9;29.99;0.033333333;99.96666667
163;30;30;29.99;0.033333333;99.96666667
164;30;29.8;29.99;0.033333333;99.96666667
165;30;29.7;29.99;0.033333333;99.96666667
166;30;30;29.99;0.033333333;99.96666667
167;30;30.1;29.99;0.033333333;99.96666667
168;30;29.9;29.99;0.033333333;99.96666667
169;30;29.5;29.99;0.033333333;99.96666667
170;30;30;29.99;0.033333333;99.96666667
171;30;30.2;29.99;0.033333333;99.96666667
172;30;30.2;29.99;0.033333333;99.96666667
173;30;30.1;29.99;0.033333333;99.96666667
174;30;30.1;29.99;0.033333333;99.96666667
175;30;30.1;29.99;0.033333333;99.96666667
176;30;30;29.99;0.033333333;99.96666667
177;30;30.1;29.99;0.033333333;99.96666667
178;30;30;29.99;0.033333333;99.96666667
179;30;30;29.99;0.033333333;99.96666667
180;30;30.1;29.99;0.033333333;99.96666667
x;10.67777778;10.76333333;10.76333333;7.905050355;92.09494964
